LFDNR,KITA_ID,E_NAME,ADRESSE,RECHTSWERT,HOCHWERT,HOMEPAGE,BEZIRK
136,134,Loddengrund,Delstrup 21,408814,5754549,http://www.muenster.de/stadt/jugendamt/e_kitas-liste.html,Gremmendorf
123,112,St. Konrad,An der Konradkirche 3,409103,5757764,http://www.sanktbenedikt.de,Mauritz-Ost
159,120,Emmerbachtal,Am Roggenkamp 110,408616,5750983,http://www.muenster.de/stadt/jugendamt/e_kitas-liste.html,Hiltrup
156,56,St. Clemens,Zur Alten Feuerwache 5,406435,5751356,http://www.familienzentrum-stclemens.de/,Hiltrup
741,138,Kita Berg Fidel (Dep.),Rincklakeweg 18,405162,5753791,http://www.muenster.de/stadt/jugendamt/e_kitas-liste.html,Berg Fidel
1025,427,Kita kleine Wasserwelt,Robert-Bosch-Straße 17,406223,5754862,Berg-Fidel
152,150,Trauttmansdorffstrasse,Trauttmansdorffstraße 73,406167,5753590,http://www.awo-msl-re.de/awo-vor-ort/vo-ms/vo-kita-ms/scheibenstrasse-1-1699/kita-scheibenstrasse.html,Berg-Fidel
157,55,St. Marien,Loddenweg 10a,408303,5751570,http://www.kita-sankt-marien-hiltrup.de/page.php,Hiltrup
455,57,Landwirtschaftsverlag (Dep.),An der Gräfte 4,407195,5751567,http://www.ev-kirche-hiltrup.de/index.php?id=kindergarten_hiltrup,Hiltrup
143,53,St. Nikolaus,Münsterstraße 24,412611,5752875,-,Wolbeck
135,47,Friedens-Kindergarten,Zum Erlenbusch 15,408808,5753504,http://www.ev-kirchenkreis-muenster.de/arbeitsfelder/bildung-und-erziehung/kitas/einrichtungen/stadt-muenster/muenster-sued-ost/friedens-kiga/,Angelmodde
140,46,St. Bernhard,Clemens-August-Platz 8,409890,5752308,http://www.st-bernhard-muenster.de,Angelmodde
142,48,Eichendorff,Eichendorffstraße 38,410284,5752440,http://www.muenster.de/stadt/jugendamt/e_kitas-liste.html,Angelmodde
862,410,Little Giants Kita Angelmodde,Eichendorffstraße 42,410321,5752442,-,Angelmodde
446,66,Die Maulwürfe - Yorkhöfe -,Gasselstiege 43a,404387,5759028,https://maulwuerfe-muenster.habanunu.de/willkommen,Neutor
10,71,St. Nikolaus,Wilhelmstraße 21,404678,5758250,http://www.liebfrauen-ueberwasser.de/kitas.html,Schloss
155,58,St. Martin,Rehhagen 5,405638,5750679,http://www.kita-sankt-martin.de/page.php,Hiltrup
1090,433,Im Drostebusch,Fliederweg 62,408602,5756969,-,Mauritz-Ost
457,431,Sonnenstraße,Sonnenstraße 85,406148,5757818,-,Martini
821,141,Hiltruper Strolche,Hansestraße 83,405950,5750137,-,Hiltrup
701,413,Landsberger Straße,Landsberger Straße 17,403735,5749177,-,Amelsbüren
166,59,St. Sebastian,Alte Furt 17,404048,5749254,http://www.familienzentrum-amelsbueren.de/,Amelsbüren
153,140,Feldmäuse,Vennheideweg 51,405388,5753138,http://www.wald-kita.de,Berg-Fidel
7,63,Regenbogenkinder,Hoppengarten 34,407310,5759063,http://www.regenbogenkinder-kita.de,Rumphorst
1,9,St. Ludgeri,Königsstraße 26,405632,5757311,http://www.st-lamberti.de/de/unsere_kindertagesstaetten/besuch_in_der_kita_st_ludgeri/,Mitte
721,366,Erphobogen,Bohlweg 53,406827,5758379,https://www.drk-muenster.de/angebot/kita/erphobogen/index.php,Schlachthof
70,97,St. Michael II,Wickenkamp 1,401186,5758412,http://www.liebfrauen-ueberwasser.de/kitas.html,Gievenbeck
22,132,Kindergruppe 13,Ashölterweg 130,406123,5763818,http://www.kita13.wordpress.com,Sprakel
121,133,Bergmannshof,Ashölterweg 130a,406080,5763835,http://www.kita-bergmannshof.de,Sprakel
82,,Niki de Saint Phalle,Schmeddingstraße 54,403103,5757476,http://klinikum.uni-muenster.de/index.php?id=kita,Sentrup
53,78,Emilienkindergarten,Geiststraße 60,405232,5756207,http://www.st-joseph-muenster-sued.de/einrichtungen/kindergaerten/emilien-kindergarten/,Geist
39,83,St. Agnes,Ewaldistraße 12,407118,5756814,http://www.sankt-mauritz.com/kita-agnes,Herz-Jesu
79,100,St. Theresia,Waldeyerstraße 60,403431,5757261,http://www.liebfrauen-ueberwasser.de/kitas.html,Sentrup
103,131,An der Meerwiese,An der Meerwiese 11,407277,5760628,https://www.drk-muenster.de/angebot/kita/meerwiese/index.php,Coerde
477,432,Ermlandweg,Ermlandweg 11,404730,5760633,-,Kinderhaus-Ost
51,16,Sonnenschein,Goebenstraße 16,405404,5756639,http://www.sonnenschein16.de,Josef
